country,lat_long,lat,lon,population_str,population,median_age_str,median_age_total,median_age_male,median_age_female,male_minus_female,age_dist_str,age_0-14_perc,age_15-24_perc,age_25-54_perc,age_55-64_perc,age_65+_perc,0-14_male,0-14_female,15-24_male,15-24_female,25-54_male,25-54_female,55-64_male,55-64_female,65+_male,65+_female,migration_str,migration,birth_rate,death_rate,pop_growth,map_ref,life_exp_total,life_exp_male,life_exp_female
"Gambia, The","13 28 N, 16 34 W",13.466666666666667,-16.566666666666666,"2,051,363 (July 2017 est.)",2051363,"total: 21 years
male: 20.7 years
female: 21.3 years (2017 est.)",21.0,20.7,21.3,-0.6000000000000014,"0-14 years: 37.44% (male 385,646/female 382,328)
15-24 years: 20.47% (male 207,611/female 212,366)
25-54 years: 34.4% (male 345,788/female 359,976)
55-64 years: 4.2% (male 41,295/female 44,865)
65 years and over: 3.48% (male 33,153/female 38,335) (2017 est.)",37.44,20.47,34.4,4.2,3.48,385646,382328,207611,212366,345788,359976,41295,44865,33153,38335,"-1.9 migrant(s)/1,000 population (2017 est.)",-1.9,29.4,7.0,22.4,Africa,65.1,62.8,67.5
Gaza Strip,"31 25 N, 34 20 E",31.41666666666667,34.333333333333336,"1,795,183 (July 2017 est.)",1795183,"total: 17.2 years
male: 16.8 years
female: 17.5 years (2017 est.)",17.2,16.8,17.5,-0.6999999999999993,"0-14 years: 44.78% (male 412,644/female 391,275)
15-24 years: 21.25% (male 192,292/female 189,166)
25-54 years: 28.02% (male 246,518/female 256,543)
55-64 years: 3.4% (male 31,961/female 29,119)
65 years and over: 2.54% (male 23,729/female 21,936) (2017 est.)",44.78,21.25,28.02,3.4,2.54,412644,391275,192292,189166,246518,256543,31961,29119,23729,21936,"-5.1 migrant(s)/1,000 population (2017 est.)",-5.1,31.4,3.1,28.3,Middle East,74.2,72.5,75.9
Georgia,"42 00 N, 43 30 E",42.0,43.5,"4,926,330 (July 2017 est.)",4926330,"total: 38.1 years
male: 35.3 years
female: 40.9 years (2017 est.)",38.1,35.3,40.9,-5.600000000000001,"0-14 years: 18.08% (male 466,426/female 424,295)
15-24 years: 11.94% (male 310,970/female 277,434)
25-54 years: 40.96% (male 983,144/female 1,034,794)
55-64 years: 13.01% (male 286,539/female 354,247)
65 years and over: 16.01% (male 309,353/female 479,128) (2017 est.)",18.08,11.94,40.96,13.01,16.01,466426,424295,310970,277434,983144,1034794,286539,354247,309353,479128,"-1.6 migrant(s)/1,000 population (2017 est.)",-1.6,12.3,10.9,1.4000000000000004,Asia,76.4,72.3,80.7
Germany,"51 00 N, 9 00 E",51.0,9.0,"80,594,017 (July 2017 est.)",80594017,"total: 47.1 years
male: 46 years
female: 48.2 years (2017 est.)",47.1,46.0,48.2,-2.200000000000003,"0-14 years: 12.82% (male 5,304,341/female 5,028,776)
15-24 years: 10.09% (male 4,145,486/female 3,986,302)
25-54 years: 40.45% (male 16,467,975/female 16,133,964)
55-64 years: 14.58% (male 5,834,179/female 5,913,322)
65 years and over: 22.06% (male 7,822,221/female 9,957,451) (2017 est.)",12.82,10.09,40.45,14.58,22.06,5304341,5028776,4145486,3986302,16467975,16133964,5834179,5913322,7822221,9957451,"1.5 migrant(s)/1,000 population (2017 est.)",1.5,8.6,11.7,-3.1,Europe,80.8,78.5,83.3
Ghana,"8 00 N, 2 00 W",8.0,-2.0,"27,499,924
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",27499924,"total: 21.1 years
male: 20.6 years
female: 21.6 years (2017 est.)",21.1,20.6,21.6,-1.0,"0-14 years: 38.01% (male 5,253,430/female 5,198,892)
15-24 years: 18.63% (male 2,548,661/female 2,575,160)
25-54 years: 34.14% (male 4,554,972/female 4,834,765)
55-64 years: 4.97% (male 664,866/female 701,277)
65 years and over: 4.25% (male 538,790/female 629,111) (2017 est.)",38.01,18.63,34.14,4.97,4.25,5253430,5198892,2548661,2575160,4554972,4834765,664866,701277,538790,629111,"-1.8 migrant(s)/1,000 population (2017 est.)",-1.8,30.5,7.0,23.5,Africa,67.0,64.5,69.6
Gibraltar,"36 08 N, 5 21 W",36.13333333333333,-5.35,"29,396 (July 2017 est.)",29396,"total: 34.7 years
male: 33.8 years
female: 35.7 years (2017 est.)",34.7,33.8,35.7,-1.9000000000000057,"0-14 years: 20.22% (male 3,045/female 2,899)
15-24 years: 14.34% (male 2,199/female 2,017)
25-54 years: 39.67% (male 5,958/female 5,703)
55-64 years: 9.68% (male 1,232/female 1,614)
65 years and over: 16.09% (male 2,329/female 2,400) (2017 est.)",20.22,14.34,39.67,9.68,16.09,3045,2899,2199,2017,5958,5703,1232,1614,2329,2400,"-3.3 migrant(s)/1,000 population (2017 est.)",-3.3,14.0,8.5,5.5,Europe,79.6,76.7,82.6
Greece,"39 00 N, 22 00 E",39.0,22.0,"10,768,477 (July 2017 est.)",10768477,"total: 44.5 years
male: 43.5 years
female: 45.6 years (2017 est.)",44.5,43.5,45.6,-2.1000000000000014,"0-14 years: 13.83% (male 767,245/female 722,313)
15-24 years: 9.67% (male 532,179/female 509,487)
25-54 years: 42.45% (male 2,275,984/female 2,295,082)
55-64 years: 13.13% (male 692,420/female 721,641)
65 years and over: 20.91% (male 986,816/female 1,265,310) (2017 est.)",13.83,9.67,42.45,13.13,20.91,767245,722313,532179,509487,2275984,2295082,692420,721641,986816,1265310,"2.3 migrant(s)/1,000 population (2017 est.)",2.3,8.4,11.3,-2.9000000000000004,Europe,80.7,78.0,83.4
Greenland,"72 00 N, 40 00 W",72.0,-40.0,"57,713 (July 2017 est.)",57713,"total: 33.9 years
male: 35 years
female: 32.7 years (2017 est.)",33.9,35.0,32.7,2.299999999999997,"0-14 years: 21.11% (male 6,195/female 5,986)
15-24 years: 15.48% (male 4,506/female 4,429)
25-54 years: 41.21% (male 12,473/female 11,309)
55-64 years: 12.96% (male 4,112/female 3,370)
65 years and over: 9.24% (male 2,862/female 2,471) (2017 est.)",21.11,15.48,41.21,12.96,9.24,6195,5986,4506,4429,12473,11309,4112,3370,2862,2471,"-6 migrant(s)/1,000 population (2017 est.)",-6.0,14.4,8.7,5.700000000000001,Arctic Region,72.6,69.9,75.5
Grenada,"12 07 N, 61 40 W",12.116666666666667,-61.66666666666666,"111,724 (July 2017 est.)",111724,"total: 31.5 years
male: 31.5 years
female: 31.6 years (2017 est.)",31.5,31.5,31.6,-0.10000000000000142,"0-14 years: 23.99% (male 13,914/female 12,893)
15-24 years: 15.03% (male 8,377/female 8,414)
25-54 years: 40.38% (male 23,099/female 22,013)
55-64 years: 10.52% (male 6,016/female 5,740)
65 years and over: 10.08% (male 5,210/female 6,048) (2017 est.)",23.99,15.03,40.38,10.52,10.08,13914,12893,8377,8414,23099,22013,6016,5740,5210,6048,"-2.9 migrant(s)/1,000 population (2017 est.)",-2.9,15.5,8.2,7.300000000000002,Central America and the Caribbean,74.5,71.9,77.4
Guam,"13 28 N, 144 47 E",13.466666666666667,144.78333333333333,"167,358 (July 2017 est.)",167358,"total: 29 years
male: 28.3 years
female: 29.7 years (2017 est.)",29.0,28.3,29.7,-1.3999999999999986,"0-14 years: 27.54% (male 23,896/female 22,190)
15-24 years: 16.63% (male 14,847/female 12,981)
25-54 years: 37.44% (male 32,295/female 30,356)
55-64 years: 9.8% (male 8,352/female 8,057)
65 years and over: 8.59% (male 6,706/female 7,678) (2017 est.)",27.54,16.63,37.44,9.8,8.59,23896,22190,14847,12981,32295,30356,8352,8057,6706,7678,"-11.1 migrant(s)/1,000 population (2017 est.)",-11.1,19.7,6.0,13.7,Oceania,76.0,73.6,78.6
Guatemala,"15 30 N, 90 15 W",15.5,-90.25,"15,460,732 (July 2017 est.)",15460732,"total: 22.1 years
male: 21.4 years
female: 22.8 years (2017 est.)",22.1,21.4,22.8,-1.4000000000000021,"0-14 years: 34.5% (male 2,719,027/female 2,614,720)
15-24 years: 21.58% (male 1,677,634/female 1,658,941)
25-54 years: 34.12% (male 2,516,456/female 2,759,393)
55-64 years: 5.26% (male 384,967/female 428,198)
65 years and over: 4.54% (male 324,492/female 376,904) (2017 est.)",34.5,21.58,34.12,5.26,4.54,2719027,2614720,1677634,1658941,2516456,2759393,384967,428198,324492,376904,"-1.9 migrant(s)/1,000 population (2017 est.)",-1.9,24.1,4.7,19.4,Central America and the Caribbean,72.6,70.6,74.7
Guernsey,"49 28 N, 2 35 W",49.46666666666667,-2.583333333333333,"66,502 (July 2017 est.)",66502,"total: 43.8 years
male: 42.5 years
female: 45.1 years (2017 est.)",43.8,42.5,45.1,-2.6000000000000014,"0-14 years: 14.51% (male 4,984/female 4,665)
15-24 years: 11.13% (male 3,780/female 3,620)
25-54 years: 41.67% (male 13,995/female 13,719)
55-64 years: 13.11% (male 4,332/female 4,387)
65 years and over: 19.58% (male 5,929/female 7,091) (2017 est.)",14.51,11.13,41.67,13.11,19.58,4984,4665,3780,3620,13995,13719,4332,4387,5929,7091,"2.2 migrant(s)/1,000 population (2017 est.)",2.2,9.8,9.0,0.8000000000000007,Europe,82.6,79.9,85.4
Guinea,"11 00 N, 10 00 W",11.0,-10.0,"12,413,867 (July 2017 est.)",12413867,"total: 18.9 years
male: 18.7 years
female: 19.1 years (2017 est.)",18.9,18.7,19.1,-0.4000000000000021,"0-14 years: 41.52% (male 2,603,506/female 2,550,714)
15-24 years: 19.73% (male 1,236,092/female 1,212,936)
25-54 years: 30.59% (male 1,905,249/female 1,892,638)
55-64 years: 4.48% (male 266,848/female 289,697)
65 years and over: 3.67% (male 201,598/female 254,589) (2017 est.)",41.52,19.73,30.59,4.48,3.67,2603506,2550714,1236092,1212936,1905249,1892638,266848,289697,201598,254589,"0 migrant(s)/1,000 population (2017 est.)",0.0,35.1,9.0,26.1,Africa,61.0,59.5,62.6
Guinea-Bissau,"12 00 N, 15 00 W",12.0,-15.0,"1,792,338 (July 2017 est.)",1792338,"total: 20.1 years
male: 19.7 years
female: 20.6 years (2017 est.)",20.1,19.7,20.6,-0.9000000000000021,"0-14 years: 39.03% (male 349,256/female 350,327)
15-24 years: 20.18% (male 179,389/female 182,242)
25-54 years: 32.77% (male 292,736/female 294,526)
55-64 years: 4.57% (male 32,156/female 49,761)
65 years and over: 3.46% (male 22,574/female 39,371) (2017 est.)",39.03,20.18,32.77,4.57,3.46,349256,350327,179389,182242,292736,294526,32156,49761,22574,39371,"0 migrant(s)/1,000 population (2017 est.)",0.0,32.5,13.9,18.6,Africa,51.0,48.9,53.1
Guyana,"5 00 N, 59 00 W",5.0,-59.0,"737,718
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",737718,"total: 26.2 years
male: 25.9 years
female: 26.6 years (2017 est.)",26.2,25.9,26.6,-0.7000000000000028,"0-14 years: 26.22% (male 98,506/female 94,949)
15-24 years: 21.56% (male 81,487/female 77,567)
25-54 years: 38.1% (male 146,915/female 134,145)
55-64 years: 8.03% (male 26,924/female 32,345)
65 years and over: 6.08% (male 18,421/female 26,459) (2017 est.)",26.22,21.56,38.1,8.03,6.08,98506,94949,81487,77567,146915,134145,26924,32345,18421,26459,"-4.8 migrant(s)/1,000 population (2017 est.)",-4.8,15.4,7.4,8.0,South America,68.6,65.6,71.8
Haiti,"19 00 N, 72 25 W",19.0,-72.41666666666667,"10,646,714
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",10646714,"total: 23 years
male: 22.7 years
female: 23.2 years (2017 est.)",23.0,22.7,23.2,-0.5,"0-14 years: 32.81% (male 1,740,291/female 1,752,663)
15-24 years: 21.25% (male 1,132,386/female 1,129,844)
25-54 years: 36.78% (male 1,943,683/female 1,972,347)
55-64 years: 5.01% (male 254,352/female 279,431)
65 years and over: 4.15% (male 194,535/female 247,182) (2017 est.)",32.81,21.25,36.78,5.01,4.15,1740291,1752663,1132386,1129844,1943683,1972347,254352,279431,194535,247182,"-2 migrant(s)/1,000 population (2017 est.)",-2.0,23.0,7.6,15.4,Central America and the Caribbean,64.2,61.6,66.8
Honduras,"15 00 N, 86 30 W",15.0,-86.5,"9,038,741
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",9038741,"total: 23 years
male: 22.6 years
female: 23.3 years (2017 est.)",23.0,22.6,23.3,-0.6999999999999993,"0-14 years: 32.95% (male 1,521,300/female 1,456,727)
15-24 years: 21% (male 968,013/female 930,060)
25-54 years: 36.63% (male 1,675,574/female 1,635,241)
55-64 years: 5.13% (male 218,342/female 245,447)
65 years and over: 4.29% (male 167,957/female 220,080) (2017 est.)",32.95,21.0,36.63,5.13,4.29,1521300,1456727,968013,930060,1675574,1635241,218342,245447,167957,220080,"-1.1 migrant(s)/1,000 population (2017 est.)",-1.1,22.4,5.3,17.099999999999998,Central America and the Caribbean,71.2,69.5,72.9
Hong Kong,"22 15 N, 114 10 E",22.25,114.16666666666669,"7,191,503 (July 2017 est.)",7191503,"total: 44.4 years
male: 43.5 years
female: 45 years (2017 est.)",44.4,43.5,45.0,-1.5,"0-14 years: 12.19% (male 462,748/female 414,023)
15-24 years: 10.43% (male 392,167/female 357,821)
25-54 years: 44.68% (male 1,370,206/female 1,842,825)
55-64 years: 16.17% (male 559,421/female 603,771)
65 years and over: 16.53% (male 559,512/female 629,009) (2017 est.)",12.19,10.43,44.68,16.17,16.53,462748,414023,392167,357821,1370206,1842825,559421,603771,559512,629009,"1.7 migrant(s)/1,000 population (2017 est.)",1.7,8.9,7.4,1.5,Southeast Asia,83.0,80.4,85.9
Hungary,"47 00 N, 20 00 E",47.0,20.0,"9,850,845 (July 2017 est.)",9850845,"total: 42.3 years
male: 40.4 years
female: 44.3 years (2017 est.)",42.3,40.4,44.3,-3.899999999999999,"0-14 years: 14.71% (male 746,043/female 702,792)
15-24 years: 10.96% (male 557,655/female 522,324)
25-54 years: 41.88% (male 2,075,101/female 2,050,478)
55-64 years: 13.4% (male 608,734/female 711,602)
65 years and over: 19.05% (male 708,214/female 1,167,902) (2017 est.)",14.71,10.96,41.88,13.4,19.05,746043,702792,557655,522324,2075101,2050478,608734,711602,708214,1167902,"1.3 migrant(s)/1,000 population (2017 est.)",1.3,9.0,12.8,-3.8000000000000007,Europe,76.1,72.4,80.0
Iceland,"65 00 N, 18 00 W",65.0,-18.0,"339,747 (July 2017 est.)",339747,"total: 36.5 years
male: 35.9 years
female: 37.1 years (2017 est.)",36.5,35.9,37.1,-1.2000000000000028,"0-14 years: 20.4% (male 35,418/female 33,887)
15-24 years: 13.5% (male 23,190/female 22,659)
25-54 years: 39.88% (male 68,579/female 66,899)
55-64 years: 11.81% (male 20,119/female 20,007)
65 years and over: 14.42% (male 22,936/female 26,053) (2017 est.)",20.4,13.5,39.88,11.81,14.42,35418,33887,23190,22659,68579,66899,20119,20007,22936,26053,"4 migrant(s)/1,000 population (2017 est.)",4.0,13.7,6.4,7.299999999999999,Arctic Region,83.1,80.9,85.4
India,"20 00 N, 77 00 E",20.0,77.0,"1,281,935,911 (July 2017 est.)",1281935911,"total: 27.9 years
male: 27.2 years
female: 28.6 years (2017 est.)",27.9,27.2,28.6,-1.4000000000000021,"0-14 years: 27.34% (male 186,087,665/female 164,398,204)
15-24 years: 17.9% (male 121,879,786/female 107,583,437)
25-54 years: 41.08% (male 271,744,709/female 254,834,569)
55-64 years: 7.45% (male 47,846,122/female 47,632,532)
65 years and over: 6.24% (male 37,837,801/female 42,091,086) (2017 est.)",27.34,17.9,41.08,7.45,6.24,186087665,164398204,121879786,107583437,271744709,254834569,47846122,47632532,37837801,42091086,"0 migrant(s)/1,000 population (2017 est.)",0.0,19.0,7.3,11.7,Asia,68.8,67.6,70.1
Indonesia,"5 00 S, 120 00 E",-5.0,120.0,"260,580,739 (July 2017 est.)",260580739,"total: 30.2 years
male: 29.6 years
female: 30.8 years (2017 est.)",30.2,29.6,30.8,-1.1999999999999993,"0-14 years: 25.02% (male 33,205,805/female 31,994,844)
15-24 years: 16.99% (male 22,537,842/female 21,738,210)
25-54 years: 42.4% (male 56,493,414/female 53,980,979)
55-64 years: 8.58% (male 10,192,430/female 12,177,931)
65 years and over: 7.01% (male 7,954,795/female 10,304,489) (2017 est.)",25.02,16.99,42.4,8.58,7.01,33205805,31994844,22537842,21738210,56493414,53980979,10192430,12177931,7954795,10304489,"-1.1 migrant(s)/1,000 population (2017 est.)",-1.1,16.2,6.5,9.7,Southeast Asia,73.0,70.4,75.7
Iran,"32 00 N, 53 00 E",32.0,53.0,"82,021,564 (July 2017 est.)",82021564,"total: 30.3 years
male: 30 years
female: 30.5 years (2017 est.)",30.3,30.0,30.5,-0.5,"0-14 years: 24.19% (male 10,154,424/female 9,690,512)
15-24 years: 14.69% (male 6,174,435/female 5,878,475)
25-54 years: 48.57% (male 20,316,773/female 19,522,673)
55-64 years: 7.22% (male 2,920,111/female 2,999,525)
65 years and over: 5.32% (male 2,026,594/female 2,338,042) (2017 est.)",24.19,14.69,48.57,7.22,5.32,10154424,9690512,6174435,5878475,20316773,19522673,2920111,2999525,2026594,2338042,"-0.2 migrant(s)/1,000 population (2017 est.)",-0.2,17.9,5.3,12.599999999999998,Middle East,74.0,72.7,75.5
Iraq,"33 00 N, 44 00 E",33.0,44.0,"39,192,111 (July 2017 est.)",39192111,"total: 20 years
male: 19.8 years
female: 20.3 years (2017 est.)",20.0,19.8,20.3,-0.5,"0-14 years: 39.46% (male 7,895,522/female 7,569,205)
15-24 years: 19.25% (male 3,841,375/female 3,702,187)
25-54 years: 33.84% (male 6,704,201/female 6,558,108)
55-64 years: 3.99% (male 752,598/female 812,683)
65 years and over: 3.46% (male 601,937/female 754,295) (2017 est.)",39.46,19.25,33.84,3.99,3.46,7895522,7569205,3841375,3702187,6704201,6558108,752598,812683,601937,754295,"-1.2 migrant(s)/1,000 population (2017 est.)",-1.2,30.4,3.8,26.6,Middle East,74.9,72.6,77.2
Ireland,"53 00 N, 8 00 W",53.0,-8.0,"5,011,102 (July 2017 est.)",5011102,"total: 36.8 years
male: 36.4 years
female: 37.1 years (2017 est.)",36.8,36.4,37.1,-0.7000000000000028,"0-14 years: 21.46% (male 549,864/female 525,608)
15-24 years: 11.84% (male 301,114/female 292,055)
25-54 years: 43.2% (male 1,087,587/female 1,077,383)
55-64 years: 10.42% (male 261,650/female 260,737)
65 years and over: 13.07% (male 303,078/female 352,026) (2017 est.)",21.46,11.84,43.2,10.42,13.07,549864,525608,301114,292055,1087587,1077383,261650,260737,303078,352026,"4 migrant(s)/1,000 population (2017 est.)",4.0,14.1,6.6,7.5,Europe,80.9,78.6,83.4
Isle of Man,"54 15 N, 4 30 W",54.25,-4.5,"88,815 (July 2017 est.)",88815,"total: 44.2 years
male: 43.3 years
female: 44.9 years (2017 est.)",44.2,43.3,44.9,-1.6000000000000014,"0-14 years: 16.28% (male 7,547/female 6,916)
15-24 years: 11.43% (male 5,355/female 4,800)
25-54 years: 38.79% (male 17,215/female 17,234)
55-64 years: 13.13% (male 5,891/female 5,772)
65 years and over: 20.36% (male 8,469/female 9,616) (2017 est.)",16.28,11.43,38.79,13.13,20.36,7547,6916,5355,4800,17215,17234,5891,5772,8469,9616,"6 migrant(s)/1,000 population (2017 est.)",6.0,11.0,10.2,0.8000000000000007,Europe,81.3,79.6,83.2
Israel,"31 30 N, 34 45 E",31.5,34.75,"8,299,706 (July 2017 est.) (includes populations of the Golan Heights of Golan Sub-District and also East Jerusalem, which was annexed by Israel after 1967)
note: approximately 22,000 Israeli settlers live in the Golan Heights (2016); approximately 201,000 Israeli settlers live in East Jerusalem (2014)",8299706,"total: 29.9 years
male: 29.3 years
female: 30.6 years (2017 est.)",29.9,29.3,30.6,-1.3000000000000007,"0-14 years: 27.51% (male 1,168,351/female 1,114,902)
15-24 years: 15.53% (male 658,572/female 630,675)
25-54 years: 37.17% (male 1,577,187/female 1,507,793)
55-64 years: 8.46% (male 344,922/female 357,301)
65 years and over: 11.33% (male 421,660/female 518,343) (2017 est.)",27.51,15.53,37.17,8.46,11.33,1168351,1114902,658572,630675,1577187,1507793,344922,357301,421660,518343,"2.2 migrant(s)/1,000 population (2017 est.)",2.2,18.1,5.2,12.900000000000002,Middle East,82.5,80.7,84.5
Italy,"42 50 N, 12 50 E",42.833333333333336,12.833333333333336,"62,137,802 (July 2017 est.)",62137802,"total: 45.5 years
male: 44.4 years
female: 46.5 years (2017 est.)",45.5,44.4,46.5,-2.1000000000000014,"0-14 years: 13.65% (male 4,334,457/female 4,146,726)
15-24 years: 9.66% (male 3,008,228/female 2,996,854)
25-54 years: 42.16% (male 12,933,634/female 13,265,541)
55-64 years: 12.99% (male 3,914,061/female 4,159,859)
65 years and over: 21.53% (male 5,758,197/female 7,620,245) (2017 est.)",13.65,9.66,42.16,12.99,21.53,4334457,4146726,3008228,2996854,12933634,13265541,3914061,4159859,5758197,7620245,"3.7 migrant(s)/1,000 population (2017 est.)",3.7,8.6,10.4,-1.8000000000000007,Europe,82.3,79.6,85.1
Jamaica,"18 15 N, 77 30 W",18.25,-77.5,"2,990,561 (July 2017 est.)",2990561,"total: 26 years
male: 25.5 years
female: 26.5 years (2017 est.)",26.0,25.5,26.5,-1.0,"0-14 years: 27.17% (male 413,325/female 399,190)
15-24 years: 20.79% (male 312,400/female 309,477)
25-54 years: 38.17% (male 564,414/female 577,059)
55-64 years: 5.85% (male 84,271/female 90,612)
65 years and over: 8.02% (male 107,310/female 132,503) (2017 est.)",27.17,20.79,38.17,5.85,8.02,413325,399190,312400,309477,564414,577059,84271,90612,107310,132503,"-4.3 migrant(s)/1,000 population (2017 est.)",-4.3,17.9,6.8,11.099999999999998,Central America and the Caribbean,73.7,72.1,75.4
Japan,"36 00 N, 138 00 E",36.0,138.0,"126,451,398 (July 2017 est.)",126451398,"total: 47.3 years
male: 46 years
female: 48.7 years (2017 est.)",47.3,46.0,48.7,-2.700000000000003,"0-14 years: 12.84% (male 8,361,611/female 7,875,045)
15-24 years: 9.64% (male 6,417,085/female 5,778,904)
25-54 years: 37.5% (male 23,435,323/female 23,980,781)
55-64 years: 12.15% (male 7,692,424/female 7,665,157)
65 years and over: 27.87% (male 15,397,309/female 19,847,759) (2017 est.)",12.84,9.64,37.5,12.15,27.87,8361611,7875045,6417085,5778904,23435323,23980781,7692424,7665157,15397309,19847759,"0 migrant(s)/1,000 population (2017 est.)",0.0,7.7,9.8,-2.1000000000000005,Asia,85.3,81.9,88.8
Jersey,"49 15 N, 2 10 W",49.25,-2.1666666666666665,"98,840 (July 2017 est.)",98840,"total: 38 years
male: 36 years
female: 40.7 years (2017 est.)",38.0,36.0,40.7,-4.700000000000003,"0-14 years: 16.23% (male 8,300/female 7,740)
15-24 years: 13.91% (male 7,094/female 6,658)
25-54 years: 40.99% (male 20,318/female 20,200)
55-64 years: 12.53% (male 6,042/female 6,339)
65 years and over: 16.34% (male 6,879/female 9,270) (2017 est.)",16.23,13.91,40.99,12.53,16.34,8300,7740,7094,6658,20318,20200,6042,6339,6879,9270,"3.2 migrant(s)/1,000 population (2017 est.)",3.2,12.4,7.8,4.6000000000000005,Europe,81.9,79.5,84.6
Jordan,"31 00 N, 36 00 E",31.0,36.0,"10,248,069
note: increased estimate reflects revised assumptions about the net migration rate due to the increased flow of Syrian refugees (July 2017 est.)",10248069,"total: 22.5 years
male: 22.9 years
female: 22 years (2017 est.)",22.5,22.9,22.0,0.8999999999999986,"0-14 years: 34.68% (male 1,827,554/female 1,726,691)
15-24 years: 20.07% (male 1,103,042/female 953,704)
25-54 years: 37.36% (male 2,073,211/female 1,755,290)
55-64 years: 4.44% (male 236,435/female 218,469)
65 years and over: 3.45% (male 174,470/female 179,203) (2017 est.)",34.68,20.07,37.36,4.44,3.45,1827554,1726691,1103042,953704,2073211,1755290,236435,218469,174470,179203,"0 migrant(s)/1,000 population (2017 est.)",0.0,23.9,3.4,20.5,Middle East,74.8,73.4,76.3
Kazakhstan,"48 00 N, 68 00 E",48.0,68.0,"18,556,698 (July 2017 est.)",18556698,"total: 30.6 years
male: 29.3 years
female: 31.9 years (2017 est.)",30.6,29.3,31.9,-2.599999999999998,"0-14 years: 25.91% (male 2,374,427/female 2,434,212)
15-24 years: 14.05% (male 1,329,376/female 1,277,615)
25-54 years: 42.42% (male 3,847,282/female 4,024,052)
55-64 years: 9.97% (male 810,019/female 1,040,917)
65 years and over: 7.65% (male 494,064/female 924,734) (2017 est.)",25.91,14.05,42.42,9.97,7.65,2374427,2434212,1329376,1277615,3847282,4024052,810019,1040917,494064,924734,"0.4 migrant(s)/1,000 population (2017 est.)",0.4,18.1,8.1,10.000000000000002,Asia,71.1,65.9,76.0
Kenya,"1 00 N, 38 00 E",1.0,38.0,"47,615,739
note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2017 est.)",47615739,"total: 19.7 years
male: 19.6 years
female: 19.9 years (2017 est.)",19.7,19.6,19.9,-0.2999999999999972,"0-14 years: 40.02% (male 9,557,274/female 9,497,870)
15-24 years: 19.15% (male 4,552,448/female 4,567,894)
25-54 years: 33.91% (male 8,170,264/female 7,976,751)
55-64 years: 3.92% (male 856,092/female 1,009,075)
65 years and over: 3% (male 614,751/female 813,320) (2017 est.)",40.02,19.15,33.91,3.92,3.0,9557274,9497870,4552448,4567894,8170264,7976751,856092,1009075,614751,813320,"-0.2 migrant(s)/1,000 population (2017 est.)",-0.2,23.9,6.7,17.2,Africa,64.3,62.8,65.8
Kiribati,"1 25 N, 173 00 E",1.4166666666666667,173.0,"108,145 (July 2017 est.)",108145,"total: 24.6 years
male: 23.8 years
female: 25.5 years (2017 est.)",24.6,23.8,25.5,-1.6999999999999993,"0-14 years: 29.68% (male 16,360/female 15,734)
15-24 years: 21.07% (male 11,282/female 11,503)
25-54 years: 38.98% (male 20,300/female 21,860)
55-64 years: 6.04% (male 2,942/female 3,590)
65 years and over: 4.23% (male 1,802/female 2,772) (2017 est.)",29.68,21.07,38.98,6.04,4.23,16360,15734,11282,11503,20300,21860,2942,3590,1802,2772,"-2.9 migrant(s)/1,000 population (2017 est.)",-2.9,21.2,7.0,14.2,Oceania,66.5,64.0,69.1
"Korea, North","40 00 N, 127 00 E",40.0,127.0,"25,248,140 (July 2017 est.)",25248140,"total: 34 years
male: 32.5 years
female: 35.6 years (2017 est.)",34.0,32.5,35.6,-3.1000000000000014,"0-14 years: 20.78% (male 2,670,884/female 2,576,846)
15-24 years: 15.59% (male 1,982,045/female 1,955,220)
25-54 years: 44.28% (male 5,608,520/female 5,572,000)
55-64 years: 9.77% (male 1,166,680/female 1,301,201)
65 years and over: 9.56% (male 826,735/female 1,588,009) (2017 est.)",20.78,15.59,44.28,9.77,9.56,2670884,2576846,1982045,1955220,5608520,5572000,1166680,1301201,826735,1588009,"0 migrant(s)/1,000 population (2017 est.)",0.0,14.6,9.3,5.299999999999999,Asia,70.7,66.9,74.8
